procedure_code,procedure_name,department,category,standard_cost
CPT10000,Diagnostic Imaging Procedure 0,Neurology,Diagnostic Imaging,1421.98
CPT10001,Surgery - Minor Procedure 1,General Surgery,Surgery - Minor,4156.98
CPT10002,Chemotherapy Session Procedure 2,Cardiology,Chemotherapy Session,1555.56
CPT10003,Lab Test Procedure 3,Neurology,Lab Test,379.47
CPT10004,Diagnostic Imaging Procedure 4,Cardiology,Diagnostic Imaging,2129.09
CPT10005,Chemotherapy Session Procedure 5,Oncology,Chemotherapy Session,3513.58
CPT10006,Surgery - Major Procedure 6,Obstetrics,Surgery - Major,8087.5
CPT10007,Surgery - Minor Procedure 7,General Surgery,Surgery - Minor,1683.41
CPT10008,Physical Therapy Procedure 8,Obstetrics,Physical Therapy,90.47
CPT10009,Surgery - Minor Procedure 9,General Surgery,Surgery - Minor,1441.08
CPT10010,Surgery - Major Procedure 10,Obstetrics,Surgery - Major,25742.47
CPT10011,Surgery - Major Procedure 11,Neurology,Surgery - Major,14833.9
CPT10012,Surgery - Major Procedure 12,Obstetrics,Surgery - Major,19325.59
CPT10013,Emergency Visit Procedure 13,Emergency Medicine,Emergency Visit,3465.37
CPT10014,Lab Test Procedure 14,General Surgery,Lab Test,280.04
CPT10015,Consultation Procedure 15,Cardiology,Consultation,335.97
CPT10016,Surgery - Minor Procedure 16,General Surgery,Surgery - Minor,1541.29
CPT10017,Chemotherapy Session Procedure 17,Oncology,Chemotherapy Session,4180.69
CPT10018,Emergency Visit Procedure 18,Radiology,Emergency Visit,2030.61
CPT10019,Chemotherapy Session Procedure 19,Emergency Medicine,Chemotherapy Session,1798.71
CPT10020,Consultation Procedure 20,Pediatrics,Consultation,76.15
CPT10021,Consultation Procedure 21,General Surgery,Consultation,259.37
CPT10022,Physical Therapy Procedure 22,Orthopedics,Physical Therapy,214.04
CPT10023,Surgery - Major Procedure 23,Neurology,Surgery - Major,21431.55
CPT10024,Lab Test Procedure 24,Neurology,Lab Test,206.06
CPT10025,Physical Therapy Procedure 25,Obstetrics,Physical Therapy,159.71
CPT10026,Diagnostic Imaging Procedure 26,Obstetrics,Diagnostic Imaging,206.41
CPT10027,Emergency Visit Procedure 27,Neurology,Emergency Visit,1306.73
CPT10028,Emergency Visit Procedure 28,Internal Medicine,Emergency Visit,784.37
CPT10029,Lab Test Procedure 29,Emergency Medicine,Lab Test,57.4
CPT10030,Consultation Procedure 30,Emergency Medicine,Consultation,338.1
CPT10031,Chemotherapy Session Procedure 31,Cardiology,Chemotherapy Session,5875.01
CPT10032,Emergency Visit Procedure 32,General Surgery,Emergency Visit,2604.57
CPT10033,Lab Test Procedure 33,Pediatrics,Lab Test,139.84
CPT10034,Emergency Visit Procedure 34,Neurology,Emergency Visit,1497.39
CPT10035,Emergency Visit Procedure 35,General Surgery,Emergency Visit,981.85
CPT10036,Surgery - Major Procedure 36,Emergency Medicine,Surgery - Major,8878.63
CPT10037,Diagnostic Imaging Procedure 37,Oncology,Diagnostic Imaging,570.72
CPT10038,Surgery - Major Procedure 38,Neurology,Surgery - Major,36900.56
CPT10039,Diagnostic Imaging Procedure 39,General Surgery,Diagnostic Imaging,1742.23
CPT10040,Emergency Visit Procedure 40,Emergency Medicine,Emergency Visit,2004.87
CPT10041,Physical Therapy Procedure 41,Radiology,Physical Therapy,174.02
CPT10042,Chemotherapy Session Procedure 42,Emergency Medicine,Chemotherapy Session,8394.99
CPT10043,Consultation Procedure 43,Obstetrics,Consultation,95.0
CPT10044,Emergency Visit Procedure 44,Orthopedics,Emergency Visit,1125.98
CPT10045,Diagnostic Imaging Procedure 45,Internal Medicine,Diagnostic Imaging,972.35
CPT10046,Diagnostic Imaging Procedure 46,Internal Medicine,Diagnostic Imaging,1988.7
CPT10047,Diagnostic Imaging Procedure 47,Obstetrics,Diagnostic Imaging,2482.41
CPT10048,Emergency Visit Procedure 48,Obstetrics,Emergency Visit,994.21
CPT10049,Lab Test Procedure 49,Neurology,Lab Test,352.24
CPT10050,Physical Therapy Procedure 50,Radiology,Physical Therapy,259.35
CPT10051,Lab Test Procedure 51,Radiology,Lab Test,105.37
CPT10052,Consultation Procedure 52,Neurology,Consultation,184.82
CPT10053,Emergency Visit Procedure 53,General Surgery,Emergency Visit,1551.92
CPT10054,Diagnostic Imaging Procedure 54,Neurology,Diagnostic Imaging,2448.82
CPT10055,Physical Therapy Procedure 55,Pediatrics,Physical Therapy,103.41
CPT10056,Physical Therapy Procedure 56,Pediatrics,Physical Therapy,251.8
CPT10057,Surgery - Minor Procedure 57,Internal Medicine,Surgery - Minor,2537.8
CPT10058,Consultation Procedure 58,Emergency Medicine,Consultation,275.99
CPT10059,Chemotherapy Session Procedure 59,Neurology,Chemotherapy Session,4476.09
CPT10060,Chemotherapy Session Procedure 60,Neurology,Chemotherapy Session,5711.21
CPT10061,Physical Therapy Procedure 61,General Surgery,Physical Therapy,259.83
CPT10062,Emergency Visit Procedure 62,Cardiology,Emergency Visit,2853.75
CPT10063,Diagnostic Imaging Procedure 63,Internal Medicine,Diagnostic Imaging,2186.09
CPT10064,Diagnostic Imaging Procedure 64,Internal Medicine,Diagnostic Imaging,290.1
CPT10065,Physical Therapy Procedure 65,Internal Medicine,Physical Therapy,226.09
CPT10066,Lab Test Procedure 66,Emergency Medicine,Lab Test,73.2
CPT10067,Consultation Procedure 67,Obstetrics,Consultation,189.35
CPT10068,Diagnostic Imaging Procedure 68,Oncology,Diagnostic Imaging,1439.18
CPT10069,Physical Therapy Procedure 69,Cardiology,Physical Therapy,156.66
CPT10070,Diagnostic Imaging Procedure 70,Emergency Medicine,Diagnostic Imaging,1371.09
CPT10071,Chemotherapy Session Procedure 71,Pediatrics,Chemotherapy Session,8972.91
CPT10072,Physical Therapy Procedure 72,General Surgery,Physical Therapy,92.45
CPT10073,Consultation Procedure 73,Obstetrics,Consultation,260.75
CPT10074,Physical Therapy Procedure 74,Pediatrics,Physical Therapy,155.04
CPT10075,Surgery - Minor Procedure 75,Obstetrics,Surgery - Minor,1491.65
CPT10076,Physical Therapy Procedure 76,Radiology,Physical Therapy,98.1
CPT10077,Physical Therapy Procedure 77,Internal Medicine,Physical Therapy,287.83
CPT10078,Emergency Visit Procedure 78,Obstetrics,Emergency Visit,3102.68
CPT10079,Chemotherapy Session Procedure 79,Orthopedics,Chemotherapy Session,8274.93
CPT10080,Consultation Procedure 80,Internal Medicine,Consultation,347.67
CPT10081,Emergency Visit Procedure 81,Internal Medicine,Emergency Visit,887.44
