provider_id,denial_rate,avg_claim_amount,claim_volume,years_experience,department,cluster,risk_label
1,0.12956810631229235,6227.084717607973,602,6,General Surgery,0,High Risk
2,0.09181969949916527,5509.022537562604,599,33,Emergency Medicine,2,Low Risk
3,0.1187800963081862,5633.642327447833,623,5,Emergency Medicine,0,High Risk
4,0.09602649006622517,5984.774039735099,604,28,Pediatrics,2,Low Risk
5,0.13893653516295026,6756.933602058319,583,14,Pediatrics,3,Very High Risk
6,0.14732965009208104,5065.039686924493,543,5,Neurology,3,Very High Risk
7,0.09712230215827339,5417.58595323741,556,33,Neurology,1,Moderate Risk
8,0.12935323383084577,6221.0771973466,603,19,Internal Medicine,0,High Risk
9,0.10499139414802065,5066.694457831325,581,22,Neurology,1,Moderate Risk
10,0.14154411764705882,5542.707279411764,544,5,Orthopedics,3,Very High Risk
11,0.14890016920473773,7280.2872250423015,591,2,Orthopedics,0,High Risk
12,0.10233393177737882,5623.515637342908,557,30,General Surgery,1,Moderate Risk
13,0.12237762237762238,5494.608024475525,572,4,Radiology,3,Very High Risk
14,0.07993197278911565,7412.090765306122,588,33,Orthopedics,2,Low Risk
15,0.12835249042145594,8722.713122605364,522,13,Oncology,3,Very High Risk
16,0.09283387622149837,12687.665749185668,614,20,Pediatrics,2,Low Risk
17,0.1486013986013986,4922.505961538462,572,7,Emergency Medicine,3,Very High Risk
18,0.13153153153153152,6301.347477477478,555,15,Neurology,3,Very High Risk
19,0.12162162162162163,4358.3250844594595,592,23,General Surgery,2,Low Risk
20,0.11274509803921569,5626.119248366013,612,14,Cardiology,0,High Risk
21,0.11148086522462562,6482.133727121464,601,23,Emergency Medicine,2,Low Risk
22,0.1291866028708134,5327.147846889952,627,19,Oncology,0,High Risk
23,0.09217391304347826,4790.6393217391305,575,29,Neurology,1,Moderate Risk
24,0.13035714285714287,5050.165339285714,560,20,Oncology,3,Very High Risk
25,0.10561056105610561,9415.64287128713,606,29,Pediatrics,2,Low Risk
26,0.11596638655462185,4772.510218487395,595,24,Pediatrics,2,Low Risk
27,0.10338983050847457,7102.688033898305,590,18,Internal Medicine,2,Low Risk
28,0.1056338028169014,6226.012605633803,568,10,General Surgery,1,Moderate Risk
29,0.12887438825448613,5574.280538336053,613,8,Emergency Medicine,0,High Risk
30,0.09844559585492228,8077.600293609672,579,26,Obstetrics,1,Moderate Risk
31,0.10101010101010101,10414.673804713804,594,29,Obstetrics,2,Low Risk
32,0.12807881773399016,10572.86617405583,609,10,Emergency Medicine,0,High Risk
33,0.13870967741935483,9376.632064516129,620,17,Cardiology,0,High Risk
34,0.12972972972972974,5907.391477477478,555,2,General Surgery,3,Very High Risk
35,0.12631578947368421,7826.0819298245615,570,6,Oncology,3,Very High Risk
36,0.14361702127659576,11489.72,564,5,Cardiology,3,Very High Risk
37,0.11131059245960502,6039.516768402154,557,28,Radiology,1,Moderate Risk
38,0.1503623188405797,5669.1170833333335,552,5,Emergency Medicine,3,Very High Risk
39,0.1285444234404537,5130.2047826086955,529,18,Oncology,3,Very High Risk
40,0.10157618213660245,6067.304220665499,571,26,Obstetrics,1,Moderate Risk
41,0.09682804674457429,10594.59632721202,599,20,Orthopedics,2,Low Risk
42,0.09695817490494296,5216.556425855513,526,27,Internal Medicine,1,Moderate Risk
43,0.12455516014234876,5758.380943060498,562,12,Obstetrics,3,Very High Risk
44,0.13405797101449277,9608.778061594203,552,7,General Surgery,3,Very High Risk
45,0.17434210526315788,5530.219226973684,608,3,Pediatrics,0,High Risk
46,0.12457337883959044,5340.469078498293,586,10,Orthopedics,0,High Risk
47,0.0829103214890017,4839.061878172589,591,34,Internal Medicine,2,Low Risk
48,0.09557522123893805,5321.07217699115,565,25,Internal Medicine,1,Moderate Risk
49,0.14695945945945946,5678.463581081081,592,16,Radiology,0,High Risk
50,0.17304492512479203,6251.815540765391,601,2,Radiology,0,High Risk
51,0.1109350237717908,14529.218652931855,631,24,Neurology,2,Low Risk
52,0.13986013986013987,5061.583129370629,572,10,Obstetrics,3,Very High Risk
53,0.09982788296041308,5155.156643717729,581,22,Obstetrics,1,Moderate Risk
54,0.11602209944751381,13272.660165745858,543,26,Obstetrics,1,Moderate Risk
55,0.11343804537521815,5080.133106457242,573,27,Neurology,1,Moderate Risk
56,0.11090225563909774,10209.088533834587,532,29,Cardiology,1,Moderate Risk
57,0.11978221415607986,7306.143266787659,551,20,Internal Medicine,1,Moderate Risk
58,0.1295971978984238,5837.439299474606,571,27,Orthopedics,1,Moderate Risk
59,0.1348122866894198,4785.8275767918085,586,20,General Surgery,0,High Risk
60,0.11211573236889692,5086.677757685352,553,19,Internal Medicine,1,Moderate Risk
61,0.1256637168141593,5167.894548672566,565,20,Radiology,1,Moderate Risk
62,0.15467625899280577,6424.420629496403,556,2,Oncology,3,Very High Risk
63,0.11418685121107267,8912.152906574394,578,30,Pediatrics,1,Moderate Risk
64,0.09499136442141623,10485.297443868738,579,34,Neurology,1,Moderate Risk
65,0.1245674740484429,5743.743615916955,578,22,Emergency Medicine,1,Moderate Risk
66,0.1657848324514991,5732.562134038801,567,3,Oncology,3,Very High Risk
67,0.12155591572123177,5997.084489465154,617,6,General Surgery,0,High Risk
68,0.13745704467353953,6668.708350515464,582,15,Obstetrics,3,Very High Risk
69,0.14335664335664336,4645.980402097902,572,27,Radiology,3,Very High Risk
70,0.11694915254237288,4815.58906779661,590,10,Radiology,0,High Risk
71,0.1265164644714038,5091.650901213171,577,9,Radiology,3,Very High Risk
72,0.1098546042003231,6592.674071082391,619,33,Obstetrics,2,Low Risk
73,0.10702875399361023,5584.650974440894,626,32,Emergency Medicine,2,Low Risk
74,0.12054329371816638,5912.88259762309,589,6,Neurology,0,High Risk
75,0.1377551020408163,8009.827670068027,588,2,Oncology,0,High Risk
76,0.12317666126418152,5931.718476499189,617,29,Obstetrics,2,Low Risk
77,0.15517241379310345,4796.890672413793,580,4,General Surgery,3,Very High Risk
78,0.14046822742474915,5543.510602006689,598,1,Neurology,0,High Risk
79,0.09694793536804308,15684.669982046678,557,19,General Surgery,1,Moderate Risk
80,0.10172413793103448,5169.026068965518,580,26,Neurology,1,Moderate Risk
81,0.10865874363327674,4618.196774193549,589,25,Emergency Medicine,2,Low Risk
82,0.1485148514851485,6689.327970297029,606,10,Pediatrics,0,High Risk
83,0.12588652482269502,6455.705478723405,564,15,General Surgery,3,Very High Risk
84,0.11804384485666104,6263.394350758854,593,22,Obstetrics,2,Low Risk
85,0.12379421221864952,4930.041479099678,622,21,Neurology,2,Low Risk
86,0.10896309314586995,5414.36769771529,569,22,Radiology,1,Moderate Risk
87,0.11054421768707483,10939.888775510204,588,34,Internal Medicine,2,Low Risk
88,0.10034013605442177,4580.339370748299,588,30,Radiology,2,Low Risk
89,0.09705372616984402,5743.21856152513,577,25,Cardiology,1,Moderate Risk
90,0.10854092526690391,6879.030960854092,562,28,Pediatrics,1,Moderate Risk
91,0.1781305114638448,5099.706807760142,567,1,Pediatrics,3,Very High Risk
92,0.1414141414141414,6398.851616161616,594,4,Radiology,0,High Risk
93,0.1281645569620253,6393.908718354431,632,7,Oncology,0,High Risk
94,0.1490125673249551,5143.6419928186715,557,9,Emergency Medicine,3,Very High Risk
95,0.10942760942760943,8205.791531986531,594,19,General Surgery,2,Low Risk
96,0.1501766784452297,6455.7382155477035,566,1,Obstetrics,3,Very High Risk
97,0.15671641791044777,9725.958768656716,536,10,Pediatrics,3,Very High Risk
98,0.12562814070351758,5374.030804020101,597,9,Radiology,0,High Risk
99,0.10508474576271186,5409.04886440678,590,32,Radiology,2,Low Risk
100,0.1099476439790576,4897.395828970331,573,32,Emergency Medicine,1,Moderate Risk
101,0.14017094017094017,5272.208564102564,585,6,Emergency Medicine,0,High Risk
102,0.11398963730569948,7154.132141623489,579,17,Orthopedics,1,Moderate Risk
103,0.12984822934232715,5033.263102866779,593,10,Orthopedics,0,High Risk
104,0.09457092819614711,5811.973082311733,571,27,Oncology,1,Moderate Risk
105,0.1506849315068493,7449.226198630136,584,21,Oncology,3,Very High Risk
106,0.1423611111111111,5612.052013888889,576,25,Cardiology,3,Very High Risk
107,0.09966216216216216,7011.405253378379,592,28,Oncology,2,Low Risk
108,0.1213768115942029,8979.616630434783,552,15,Neurology,3,Very High Risk
109,0.16387959866220736,5748.703411371238,598,4,Emergency Medicine,0,High Risk
110,0.11206896551724138,6045.046896551725,580,29,Obstetrics,1,Moderate Risk
111,0.14332784184514002,5529.898336079077,607,9,Neurology,0,High Risk
112,0.12292358803986711,5708.803588039867,602,27,General Surgery,2,Low Risk
113,0.12104283054003724,5084.392085661079,537,26,Radiology,1,Moderate Risk
114,0.1076923076923077,9136.252803418804,585,19,Oncology,2,Low Risk
115,0.10517241379310345,5133.498103448275,580,28,Radiology,1,Moderate Risk
116,0.15752212389380532,5401.496707964602,565,17,Pediatrics,3,Very High Risk
117,0.09771986970684039,6794.458745928338,614,20,Cardiology,2,Low Risk
118,0.11507293354943274,5530.107974068072,617,23,Pediatrics,2,Low Risk
119,0.11596638655462185,5371.523294117646,595,32,Cardiology,2,Low Risk
120,0.11054421768707483,5877.215221088436,588,33,Orthopedics,2,Low Risk
121,0.13810316139767054,9636.35642262895,601,5,Radiology,0,High Risk
122,0.08586762075134168,4742.497531305904,559,34,Cardiology,1,Moderate Risk
123,0.11713286713286714,5006.037115384615,572,11,Internal Medicine,3,Very High Risk
124,0.14751286449399656,9470.156397941682,583,3,Neurology,3,Very High Risk
125,0.1013745704467354,5165.93443298969,582,33,Cardiology,2,Low Risk
126,0.11965811965811966,7925.163794871795,585,11,Cardiology,0,High Risk
127,0.10696920583468396,6012.916077795786,617,16,Neurology,2,Low Risk
128,0.12724014336917563,8772.433172043011,558,18,Radiology,3,Very High Risk
129,0.10214168039538715,7332.698797364085,607,30,Radiology,2,Low Risk
130,0.15525876460767946,11846.36510851419,599,10,Neurology,0,High Risk
131,0.12054329371816638,7096.764719864176,589,18,Pediatrics,2,Low Risk
132,0.12323943661971831,5902.438838028169,568,19,Internal Medicine,1,Moderate Risk
133,0.12542372881355932,5725.5072033898305,590,13,Obstetrics,0,High Risk
134,0.13526570048309178,6298.669694041868,621,3,General Surgery,0,High Risk
135,0.1400329489291598,5686.217561779243,607,10,Internal Medicine,0,High Risk
136,0.15171288743882544,4969.3906851549755,613,1,Radiology,0,High Risk
137,0.09168081494057725,4807.650713073005,589,27,Obstetrics,2,Low Risk
138,0.13442622950819672,5255.700524590164,610,8,Orthopedics,0,High Risk
139,0.12582781456953643,6651.554354304636,604,17,Oncology,0,High Risk
140,0.10569105691056911,6114.197853658537,615,9,Cardiology,0,High Risk
141,0.15780445969125215,9292.3551457976,583,6,Neurology,3,Very High Risk
142,0.11169284467713787,5973.645270506107,573,25,Neurology,1,Moderate Risk
143,0.09171075837742504,5219.113456790124,567,28,Cardiology,1,Moderate Risk
144,0.1011608623548922,5611.158955223881,603,33,Oncology,2,Low Risk
145,0.1795774647887324,6339.656549295774,568,9,General Surgery,3,Very High Risk
146,0.1132404181184669,5587.638972125435,574,18,Oncology,1,Moderate Risk
147,0.10777385159010601,5358.190565371025,566,21,Obstetrics,1,Moderate Risk
148,0.1254125412541254,5835.833597359736,606,2,Oncology,0,High Risk
149,0.13087248322147652,5775.8314932885905,596,15,Obstetrics,0,High Risk
150,0.11694915254237288,4574.768237288135,590,28,Oncology,2,Low Risk
151,0.09563758389261745,5853.367634228188,596,18,General Surgery,2,Low Risk
152,0.08149405772495756,6917.784668930391,589,34,General Surgery,2,Low Risk
153,0.12105263157894737,5307.700666666667,570,22,Radiology,1,Moderate Risk
154,0.1346153846153846,8486.23895104895,572,11,Cardiology,3,Very High Risk
155,0.13253012048192772,5424.382117039587,581,13,General Surgery,3,Very High Risk
156,0.1227106227106227,5369.807271062271,546,4,Obstetrics,3,Very High Risk
157,0.12612612612612611,7216.506774774775,555,22,General Surgery,1,Moderate Risk
158,0.12149532710280374,9086.833794392523,535,7,Radiology,3,Very High Risk
159,0.11926605504587157,6378.513394495412,545,24,Neurology,1,Moderate Risk
160,0.12929623567921442,11361.553207855974,611,4,Obstetrics,0,High Risk
161,0.10367892976588629,4970.989030100334,598,28,Radiology,2,Low Risk
162,0.1407035175879397,4648.629849246231,597,15,Pediatrics,0,High Risk
163,0.13394495412844037,5753.943559633027,545,1,Pediatrics,3,Very High Risk
164,0.132890365448505,14648.480365448504,602,3,Orthopedics,0,High Risk
165,0.13366336633663367,9425.56386138614,606,14,Oncology,0,High Risk
166,0.15371024734982333,11163.401219081272,566,1,Cardiology,3,Very High Risk
167,0.1024793388429752,11633.834876033057,605,21,Emergency Medicine,2,Low Risk
168,0.11877394636015326,7006.453908045977,522,29,Internal Medicine,1,Moderate Risk
169,0.13043478260869565,7306.421684782608,552,5,Radiology,3,Very High Risk
170,0.1157167530224525,10407.877115716754,579,10,Neurology,0,High Risk
171,0.10391822827938671,6342.4603236797275,587,28,Internal Medicine,2,Low Risk
172,0.11754684838160136,4611.010204429302,587,21,Neurology,2,Low Risk
173,0.13732394366197184,10762.373626760564,568,7,Internal Medicine,3,Very High Risk
174,0.15824915824915825,6577.805774410775,594,3,Radiology,0,High Risk
175,0.11979166666666667,5323.186892361111,576,20,Emergency Medicine,1,Moderate Risk
176,0.12751677852348994,5551.153053691275,596,19,Internal Medicine,0,High Risk
177,0.14948453608247422,5675.611357388316,582,4,Radiology,3,Very High Risk
178,0.13798977853492334,5936.901669505962,587,5,General Surgery,0,High Risk
179,0.14336917562724014,7781.650268817204,558,1,Emergency Medicine,3,Very High Risk
180,0.18198874296435272,7210.196848030018,533,4,Obstetrics,3,Very High Risk
181,0.13604240282685512,5271.43722614841,566,12,Neurology,3,Very High Risk
182,0.11754966887417219,8581.103841059603,604,27,Pediatrics,2,Low Risk
183,0.12542372881355932,5368.681694915254,590,23,Oncology,2,Low Risk
184,0.10380622837370242,9679.700017301038,578,25,Pediatrics,1,Moderate Risk
185,0.11252268602540835,4882.077912885663,551,21,Emergency Medicine,1,Moderate Risk
186,0.11187607573149742,10408.66495697074,581,24,Obstetrics,1,Moderate Risk
187,0.1099476439790576,10551.089493891797,573,25,Neurology,1,Moderate Risk
188,0.11913357400722022,5736.039801444043,554,32,Obstetrics,1,Moderate Risk
189,0.10291595197255575,5159.22372212693,583,32,Internal Medicine,2,Low Risk
190,0.14186851211072665,8798.830813148788,578,5,Neurology,3,Very High Risk
191,0.11243611584327087,5397.954667802385,587,16,Internal Medicine,2,Low Risk
192,0.11484098939929328,4949.086148409894,566,33,Radiology,1,Moderate Risk
193,0.13582342954159593,6103.682156196944,589,21,Emergency Medicine,0,High Risk
194,0.13479052823315119,7284.7485428051,549,9,Radiology,3,Very High Risk
